,rank,country,IQ,avg_temp,avg_income_GBP,education_expenditure_GBP,exp_spend,inverted_rank,IQ_bracket
0,1,Hong Kong ,106,26.0,28949.0,1052.0,28.0,108,100-109
1,2,Japan,106,19.0,33590.0,1099.0,31.0,107,100-109
2,3,Singapore,106,32.0,33702.0,1171.0,29.0,106,100-109
4,5,China,104,19.0,3816.0,150.0,25.0,104,100-109
5,6,South Korea,103,18.0,18700.0,840.0,22.0,103,100-109
6,7,Netherlands,101,14.0,37176.0,1957.0,19.0,102,100-109
7,8,Finland,101,8.0,35019.0,2234.0,16.0,101,100-109
8,9,Canada,100,7.0,32970.0,1683.0,20.0,100,100-109
10,11,Luxembourg,100,15.0,58463.0,3005.0,19.0,98,100-109
11,12,Macao ,100,26.0,36139.0,1187.0,30.0,97,100-109
12,13,Germany,100,14.0,32727.0,1544.0,21.0,96,100-109
13,14,Switzerland,100,15.0,57727.0,2911.0,20.0,95,100-109
14,15,Estonia,100,10.0,11291.0,614.0,18.0,94,100-109
15,16,Australia,99,24.0,35217.0,1921.0,18.0,93,90-99
16,17,United Kingdom,99,13.0,33372.0,1702.0,20.0,92,90-99
17,18,Greenland ,99,0.0,20079.0,3705.0,5.0,91,90-99
18,19,Iceland,99,8.0,38627.0,3126.0,12.0,90,90-99
19,20,Austria,99,13.0,34961.0,1920.0,18.0,89,90-99
20,21,Hungary,99,17.0,9341.0,480.0,19.0,88,90-99
21,22,New Zealand,99,17.0,24716.0,1708.0,14.0,87,90-99
22,23,Belgium,98,15.0,33231.0,2056.0,16.0,86,90-99
23,24,Norway,98,9.0,61607.0,4458.0,14.0,85,90-99
24,25,Sweden,98,10.0,40619.0,2804.0,14.0,84,90-99
25,26,Denmark,98,12.0,43582.0,3389.0,13.0,83,90-99
26,27,Cambodia,97,33.0,636.0,13.0,48.0,82,90-99
27,28,France,97,17.0,30840.0,1674.0,18.0,81,90-99
28,29,United States,97,19.0,40904.0,2139.0,19.0,80,90-99
29,30,Poland,96,13.0,8614.0,447.0,19.0,79,90-99
30,31,Czechia,96,13.0,12753.0,584.0,22.0,78,90-99
31,32,Russia,96,10.0,6758.0,277.0,24.0,77,90-99
32,33,Spain,95,21.0,21700.0,964.0,23.0,76,90-99
33,34,Ireland,95,13.0,36000.0,2050.0,18.0,75,90-99
34,35,Italy,95,18.0,26325.0,1132.0,23.0,74,90-99
35,36,Croatia,95,18.0,9546.0,414.0,23.0,73,90-99
36,37,Lithuania,95,12.0,9291.0,451.0,21.0,72,90-99
37,38,Israel,93,25.0,23787.0,1485.0,16.0,71,90-99
38,39,Mongolia,93,8.0,1838.0,125.0,15.0,70,90-99
39,40,Portugal,93,22.0,15787.0,824.0,19.0,69,90-99
40,41,Bermuda ,92,25.0,88846.0,1433.0,62.0,68,90-99
41,42,Bulgaria,91,18.0,4676.0,184.0,25.0,67,90-99
42,43,Greece,91,22.0,17303.0,640.0,27.0,66,90-99
43,44,Ukraine,91,15.0,1947.0,117.0,17.0,65,90-99
44,45,Vietnam,91,29.0,1186.0,62.0,19.0,64,90-99
45,46,Kazakhstan,89,14.0,5232.0,184.0,28.0,63,80-89
46,47,Malaysia,89,32.0,6285.0,369.0,17.0,62,80-89
47,48,Myanmar,89,32.0,541.0,11.0,47.0,61,80-89
48,49,Thailand,89,33.0,3493.0,149.0,23.0,60,80-89
49,50,Serbia,89,18.0,3998.0,171.0,23.0,59,80-89
50,51,Brunei,88,32.0,24384.0,836.0,29.0,58,80-89
51,52,Chile,88,18.0,8360.0,395.0,21.0,57,80-89
52,53,Costa Rica,88,29.0,6134.0,399.0,15.0,56,80-89
53,54,Iraq,88,32.0,3081.0,158.0,19.0,55,80-89
54,55,Romania,88,16.0,5829.0,204.0,29.0,54,80-89
55,56,Argentina,87,24.0,7212.0,372.0,19.0,53,80-89
56,57,Mauritius,87,27.0,6406.0,254.0,25.0,52,80-89
57,58,Mexico,87,30.0,7253.0,358.0,20.0,51,80-89
58,59,Turkey,87,20.0,7249.0,274.0,26.0,50,80-89
59,60,Georgia,86,20.0,2379.0,69.0,35.0,49,80-89
60,61,Sri Lanka,85,30.0,2002.0,45.0,44.0,48,80-89
62,63,Cuba,84,30.0,4541.0,324.0,14.0,46,80-89
63,64,Brazil,83,31.0,6221.0,350.0,18.0,45,80-89
64,65,Philippines,83,32.0,1911.0,55.0,35.0,44,80-89
65,66,Colombia,83,30.0,4130.0,189.0,22.0,43,80-89
66,67,Laos,83,32.0,949.0,26.0,36.0,42,80-89
67,68,Venezuela,83,32.0,6580.0,224.0,29.0,41,80-89
68,69,Albania,82,21.0,2881.0,97.0,30.0,40,80-89
69,70,United Arab Emirates,82,34.0,31688.0,660.0,48.0,39,80-89
70,71,Dominican Republic,82,32.0,4070.0,130.0,31.0,38,80-89
71,72,Puerto Rico ,82,30.0,13598.0,963.0,14.0,37,80-89
72,73,Afghanistan,81,24.0,389.0,12.0,32.0,36,80-89
73,74,Iran,81,27.0,3727.0,144.0,26.0,35,80-89
74,75,Pakistan,81,31.0,808.0,22.0,36.0,34,80-89
75,76,Indonesia,80,32.0,1931.0,65.0,30.0,33,80-89
76,77,Kuwait,80,34.0,30412.0,1632.0,19.0,32,80-89
77,78,Oman,80,34.0,12569.0,654.0,19.0,31,80-89
78,79,Qatar,80,34.0,48066.0,1911.0,25.0,30,80-89
79,80,Bolivia,79,28.0,1568.0,128.0,12.0,29,70-79
80,81,Ecuador,79,26.0,3410.0,163.0,21.0,28,70-79
81,82,Egypt,78,30.0,1784.0,75.0,24.0,27,70-79
82,83,Algeria,77,26.0,3021.0,207.0,15.0,26,70-79
83,84,India,77,32.0,954.0,39.0,25.0,25,70-79
84,85,Saudi Arabia,77,33.0,14324.0,1037.0,14.0,24,70-79
85,86,Sudan,77,36.0,958.0,20.0,47.0,23,70-79
86,87,Syria,76,25.0,3716.0,207.0,18.0,22,70-79
87,88,Bangladesh,75,30.0,768.0,16.0,47.0,21,70-79
88,89,Chad,75,36.0,517.0,13.0,39.0,20,70-79
89,90,East Timor,74,31.0,1700.0,44.0,38.0,19,70-79
90,91,Kenya,74,27.0,770.0,51.0,15.0,18,70-79
91,92,Zimbabwe,74,27.0,691.0,41.0,17.0,17,70-79
92,93,El Salvador,72,31.0,2388.0,93.0,26.0,16,70-79
93,94,Morocco,71,24.0,2105.0,118.0,18.0,15,70-79
94,95,South Africa,69,25.0,4872.0,276.0,18.0,14,60-69
95,96,Niger,69,36.0,356.0,12.0,29.0,13,60-69
96,97,Somalia,69,33.0,325.0,1.0,396.0,12,60-69
98,99,Ethiopia,67,27.0,311.0,17.0,18.0,10,60-69
99,100,Cameroon,67,31.0,1012.0,30.0,34.0,9,60-69
100,101,Congo,64,30.0,259.0,6.0,45.0,8,60-69
101,102,Ghana,61,32.0,956.0,62.0,15.0,7,60-69
102,103,Ivory Coast,61,32.0,1057.0,57.0,19.0,6,60-69
104,105,Gambia,55,33.0,531.0,11.0,46.0,4,
105,106,Guatemala,55,32.0,2321.0,75.0,31.0,3,
106,107,Sierra Leone,52,30.0,338.0,13.0,26.0,2,
107,108,Nepal,51,25.0,488.0,18.0,27.0,1,
